invoice_no,transaction_date,customer_id,description,category,order_city,state,order_postal,region,latitude,longitude,quantity,costs,profit_per_unit,baseline_shipping_cost,hypothesis_factor,hypothesis_shipping_costs,profit_before_shipping,profit_after_baseline,profit_after_hypothesis
536365,12/1/2020 8:26,17850,Dog and Puppy Pads,Disposables,heathsville,VA,22473-2244,East,37.9176,-76.4722,1,5,9.3,5,1.0,5,9.3,4.3,4.3
536367,12/1/2020 8:34,13047,Pet Odor Eliminator,Cleanig Supplies,orange,CA,92869-4525,West,33.7873,-117.8503,6,4,6.14,18.0,0.5,12.0,36.84,18.84,24.84
536368,12/1/2020 8:34,13047,Rechargeable Pet Nail Grinder,Grooming,orange,CA,92869-4525,West,33.7873,-117.8503,1,5,10.5,5,1.0,5,10.5,5.5,5.5
536371,12/1/2020 9:00,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,,,,,,,14,9,6.3,90.9,0.3,37.8,88.2,-2.69999999999999,50.4
536373,12/1/2020 9:02,17850,Dog and Puppy Pads,Disposables,heathsville,VA,22473-2244,East,37.9176,-76.4722,1,5,9.3,5,1.0,5,9.3,4.3,4.3
536376,12/1/2020 9:32,15291,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,Grooming,dearborn heights,MI,48127-2412,Central,42.337,-83.2733,8,5,12.7,29.5,0.4,16.0,101.6,72.1,85.6
536375,12/1/2020 9:32,17850,Dog and Puppy Pads,Disposables,heathsville,VA,22473-2244,East,37.9176,-76.4722,1,5,9.3,5,1.0,5,9.3,4.3,4.3
536378,12/1/2020 9:37,14688,Milk-Bone MaroSnacks Dog Treats with Real Bone,Food,fort wayne,IN,46825,Central,41.08,-85.1386,2,6,3.7,10.2,0.8,9.6,7.4,-2.8,-2.2
536378,12/1/2020 9:37,14688,Pet Grooming Brush,Grooming,fort wayne,IN,46825,Central,41.08,-85.1386,2,5,5.9,8.5,0.8,8.0,11.8,3.3,3.8
536381,12/1/2020 9:41,15311,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,grand blanc,MI,48439-1908,Central,42.92,-83.62,1,9,8.7,9,1.0,9,8.7,-0.300000000000001,-0.300000000000001
536384,12/1/2020 9:53,18074,NexGard Chew for Dogs,Food,seattle,WA,98103,West,47.6038,-122.3301,1,7,8.7,7,1.0,7,8.7,1.7,1.7
,12/1/2020 9:56,17420,Rechargeable Pet Nail Grinder,Grooming,amarillo,TX,79109-3941,Central,35.2072,-101.8338,1,5,10.5,5,1.0,5,10.5,5.5,5.5
536386,12/1/2020 9:57,16029,Earth Rated Dog Poop Bags,Disposables,lakewood,NJ,08701-4150,East,40.0979,-74.2176,17,4,4.9,48.8,0.3,20.4,83.3,34.5,62.9
536387,12/1/2020 9:58,16029,ProBiotic Supplements for Dogs,Supplements,lakewood,NJ,08701-4150,East,40.0979,-74.2176,32,7,0.92,158.9,0.3,67.2,29.44,-129.46,-37.76
